OLD URL,Action,NEW URL,Family,Template,Entry visits,GSC clicks,GSC impressions,Backlinks,Indexed?,Assets,QA status,Notes
/french-for-fly-is-la-mouche--comment-form.html,301,/french-for-fly-is-la-mouche-.html,(unknown),,0,,,,,1,,SBI comment artifact -> 301 to parent; no canonical
/french-for-fly-is-la-mouche-.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,0,,no entry traffic in 6yr; h1_count=2
/french-for-fulfill.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-gash.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-go-bad.html,KEEP,/french-for-go-bad.html,X-for-word lessons,TEMPLATED-ish,147,,,,,6,,
/french-for-groan.html,KEEP,/french-for-groan.html,X-for-word lessons,TEMPLATED-ish,62,,,,,6,,
/french-for-grow-pale.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-gulp.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-hoot.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-incline.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-inundate.html,KEEP,/french-for-inundate.html,X-for-word lessons,TEMPLATED-ish,40,,,,,6,,
/french-for-invade.html,KEEP,/french-for-invade.html,X-for-word lessons,TEMPLATED-ish,1500,,,,,6,,
/french-for-jeer.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-lay-eggs.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-lay.html,KEEP,/french-for-lay.html,X-for-word lessons,TEMPLATED-ish,755,,,,,13,,h1_count=0
/french-for-lean-adosser.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-lean-appuyer.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-lighten.html,KEEP,/french-for-lighten.html,X-for-word lessons,TEMPLATED-ish,20,,,,,6,,
/french-for-lull.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-make-angry.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-make-up.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-melt.html,KEEP,/french-for-melt.html,X-for-word lessons,TEMPLATED-ish,508,,,,,7,,
/french-for-mislead.html,KEEP,/french-for-mislead.html,X-for-word lessons,TEMPLATED-ish,52,,,,,6,,
/french-for-moan.html,KEEP,/french-for-moan.html,X-for-word lessons,TEMPLATED-ish,298,,,,,7,,h1_count=0
/french-for-notice.html,KEEP,/french-for-notice.html,X-for-word lessons,TEMPLATED-ish,44,,,,,6,,
/french-for-pea.html,KEEP,/french-for-pea.html,X-for-word lessons,TEMPLATED-ish,1770,,,,,6,,
/french-for-praise.html,KEEP,/french-for-praise.html,X-for-word lessons,TEMPLATED-ish,1477,,,,,6,,
/french-for-provoke.html,KEEP,/french-for-provoke.html,X-for-word lessons,TEMPLATED-ish,23,,,,,6,,
