path,family,type,entry_visits_total,pageviews_total,months_seen,entry_visits_avg,first_month,last_month,trend
/spanish-for-carrot.html,X-for-word lessons,TEMPLATED-ish,5625,10858,73,78.1,2020-09,2026-09,+93%
/spanish-verb-vivir.html,verb-conjugation (lang-verb-X),TEMPLATED,5622,9744,68,83.9,2020-09,2026-09,+10%
/spanish-verb-regar.html,verb-conjugation (lang-verb-X),TEMPLATED,5598,8600,73,78.8,2020-09,2026-09,+4%
/foreign-service-institute-fsi-french.html,OTHER / bespoke,bespoke,5595,8680,73,76.6,2020-09,2026-09,+197%
/foreign-service-institute-fsi-german.html,OTHER / bespoke,bespoke,5562,11539,73,78.3,2020-09,2026-09,+221%
/spanish-verb-tender.html,verb-conjugation (lang-verb-X),TEMPLATED,5512,8409,71,78.7,2020-09,2026-09,+40%
/spanish-verb-poner.html,verb-conjugation (lang-verb-X),TEMPLATED,5461,8699,68,80.3,2020-09,2026-09,+52%
/french-verb-mener.html,verb-conjugation (lang-verb-X),TEMPLATED,5450,11141,73,74.7,2020-09,2026-09,+91%
/spanish-verb-enojar.html,verb-conjugation (lang-verb-X),TEMPLATED,5450,8115,72,75.7,2020-09,2026-09,-8%
/spanish-verb-pasar.html,verb-conjugation (lang-verb-X),TEMPLATED,5437,8517,68,82.4,2020-09,2026-07,-61%
/spanish-verb-esconder.html,verb-conjugation (lang-verb-X),TEMPLATED,5411,8535,72,75.2,2020-09,2026-09,+34%
/11Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,5391,8415,73,73.8,2020-09,2026-09,+4%
/spanish-verb-investigar.html,verb-conjugation (lang-verb-X),TEMPLATED,5391,8150,72,75.9,2020-09,2026-09,+20%
/order-page.html,OTHER / bespoke,bespoke,5311,18999,73,72.8,2020-09,2026-09,+121%
/michel-thomas.html,OTHER / bespoke,bespoke,5272,7632,71,75.3,2020-09,2026-09,-2%
/spanish-verb-prometer.html,verb-conjugation (lang-verb-X),TEMPLATED,5259,8623,72,73.0,2020-09,2026-09,-12%
/french-verb-peindre.html,verb-conjugation (lang-verb-X),TEMPLATED,5222,8085,72,73.5,2020-09,2026-09,-4%
/sleep-in-spanish.html,OTHER / bespoke,bespoke,5206,9788,73,73.3,2020-09,2026-09,+32%
/learn-spanish-in-caceres.html,course landing,bespoke,5152,8911,69,83.1,2020-09,2026-09,+422%
/spanish-verb-despedir.html,verb-conjugation (lang-verb-X),TEMPLATED,5139,9536,73,71.4,2020-09,2026-09,+43%
/z-tech-azerty.html,OTHER / bespoke,bespoke,5116,7501,70,73.1,2020-09,2026-06,+14%
/spanish-verb-suponer.html,verb-conjugation (lang-verb-X),TEMPLATED,5107,7889,54,100.1,2020-09,2026-09,-71%
/3Nov-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,5104,6598,71,71.9,2020-09,2026-08,+113%
/french-verb-dire.html,verb-conjugation (lang-verb-X),TEMPLATED,5100,9204,72,70.8,2020-09,2026-09,-3%
/spanish-verb-aparcar.html,verb-conjugation (lang-verb-X),TEMPLATED,5100,7883,71,72.9,2020-09,2026-09,+105%
/spanish-verb-construir.html,verb-conjugation (lang-verb-X),TEMPLATED,5084,7571,70,73.7,2020-09,2026-09,+116%
/language-learning-ezine.html,ezine,bespoke,5008,12665,73,86.3,2020-09,2026-09,+450%
/spanish-verb-pagar.html,verb-conjugation (lang-verb-X),TEMPLATED,4964,8167,73,68.0,2020-09,2026-09,-19%
/spanish-verb-subir.html,verb-conjugation (lang-verb-X),TEMPLATED,4936,7533,73,67.6,2020-09,2026-09,-20%
/21Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,4927,7733,69,72.5,2020-09,2026-07,-1%
/spanish-verb-girar.html,verb-conjugation (lang-verb-X),TEMPLATED,4894,7596,73,67.0,2020-09,2026-09,-6%
/french-verb-comprendre.html,verb-conjugation (lang-verb-X),TEMPLATED,4817,8988,72,66.9,2020-09,2026-09,-18%
/spanish-verb-lamer.html,verb-conjugation (lang-verb-X),TEMPLATED,4762,7454,73,65.2,2020-09,2026-09,+25%
/spanish-verb-buscar.html,verb-conjugation (lang-verb-X),TEMPLATED,4752,7499,73,66.0,2020-09,2026-09,+34%
/2Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,4700,7765,73,64.4,2020-09,2026-09,+18%
/french-verb-payer.html,verb-conjugation (lang-verb-X),TEMPLATED,4694,7686,73,64.3,2020-09,2026-09,+17%
/spanish-verb-parecer.html,verb-conjugation (lang-verb-X),TEMPLATED,4693,7467,61,79.5,2020-09,2026-04,-64%
/spanish-verb-promover.html,verb-conjugation (lang-verb-X),TEMPLATED,4630,6415,63,74.7,2021-01,2026-09,+114%
/spanish-verb-cubrir.html,verb-conjugation (lang-verb-X),TEMPLATED,4605,7600,71,67.7,2020-09,2026-09,+76%
/spanish-verb-contribuir.html,verb-conjugation (lang-verb-X),TEMPLATED,4583,7630,72,66.4,2020-09,2026-09,-16%
/spanish-verb-vender.html,verb-conjugation (lang-verb-X),TEMPLATED,4575,7756,73,64.4,2020-09,2026-09,+88%
/french-verb-trouver.html,verb-conjugation (lang-verb-X),TEMPLATED,4505,7290,69,65.3,2020-09,2026-09,+11%
/french-verb-utiliser.html,verb-conjugation (lang-verb-X),TEMPLATED,4498,7321,73,61.6,2020-09,2026-09,+81%
/30Sep-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,4490,7238,71,63.2,2020-09,2026-09,+128%
