primary_legacy_refn,source_kind,source_filename,source_path,target_ext,all_legacy_refns_count,all_legacy_refns
802,jpg,"they ,prn.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/they ,prn.jpg",jpg,2,"802,10802"
803,jpg,"thin ,skinny (person) ,adj.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/thin ,skinny (person) ,adj.jpg",jpg,2,"803,10803"
804,jpg,"thin ,slim (object) ,adj.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/thin ,slim (object) ,adj.jpg",jpg,2,"804,10804"
805,jpg,"thing ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/thing ,la.jpg",jpg,2,"805,10805"
807,swf,"thirteen ,num.swf","/tmp/flashcard-converted/thirteen ,num.png",png,1,807
808,swf,"thirty ,num.swf","/tmp/flashcard-converted/thirty ,num.png",png,1,808
810,swf,"thirty-two ,num.swf","/tmp/flashcard-converted/thirty-two ,num.png",png,2,"810,10810"
811,jpg,"this ,art.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/this ,art.jpg",jpg,2,"811,10811"
812,swf,"thousand ,num.swf","/tmp/flashcard-converted/thousand ,num.png",png,2,"812,10812"
813,swf,"three ,num.swf","/tmp/flashcard-converted/three ,num.png",png,1,813
814,jpg,"through ,across ,prep.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/through ,across ,prep.jpg",jpg,2,"814,10814"
816,swf,"Thursday ,m.swf","/tmp/flashcard-converted/Thursday ,m.png",png,2,"816,10816"
817,jpg,"ticket ,il.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/ticket ,il.jpg",jpg,2,"817,10817"
819,jpg,"time ,occasion ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/time ,occasion ,la.jpg",jpg,2,"819,10819"
820,jpg,"timetable ,l (m).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/timetable ,l (m).jpg",jpg,2,"820,10820"
821,jpg,"tired ,adj.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/tired ,adj.jpg",jpg,1,821
822,jpg,"to accept ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to accept ,v.jpg",jpg,2,"822,10822"
823,jpg,"to answer ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to answer ,v.jpg",jpg,2,"823,10823"
824,jpg,"to arrive ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to arrive ,v.jpg",jpg,2,"824,10824"
825,jpg,"to ask (question) ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to ask (question) ,v.jpg",jpg,2,"825,10825"
